segmento;prazo_plano;grupo;assembleia;data_assembleia;cotas_aptas;contemplados_sorteio;contemplados_lance_livre;contemplados_lance_fixo;ofertas_lance_livre;ofertas_lance_fixo;menor_lance_livre_pct;maior_lance_livre_pct;media_lance_livre_pct
SERVICOS;36;4402;17;2025-07-15;404;3;5;0;31;0;27,49;39,94;32,21
SERVICOS;40;4401;22;2025-08-15;474;2;4;0;36;0;27,31;46,57;36,58
SERVICOS;36;4402;18;2025-08-15;394;2;3;0;37;0;25,32;46,78;35,60
SERVICOS;40;4401;23;2025-09-15;468;2;6;0;36;0;27,02;50,97;35,89
SERVICOS;36;4402;19;2025-09-15;387;3;4;0;54;0;20,84;44,49;29,62
SERVICOS;40;4401;24;2025-10-15;459;3;3;0;35;0;23,39;41,73;31,20
SERVICOS;36;4402;20;2025-10-15;379;3;3;0;54;0;20,78;47,86;30,27
SERVICOS;40;4401;25;2025-11-15;451;3;4;0;38;0;21,91;34,63;25,83
SERVICOS;36;4402;21;2025-11-15;371;3;6;0;52;0;32,85;52,11;38,82
SERVICOS;40;4401;26;2025-12-15;444;2;4;0;55;0;17,69;36,54;23,49
SERVICOS;36;4402;22;2025-12-15;360;2;3;0;27;0;16,41;31,24;21,75
SERVICOS;40;4401;27;2026-01-15;438;2;5;0;20;0;17,80;34,39;24,22
SERVICOS;36;4402;23;2026-01-15;353;2;6;0;51;0;22,04;45,50;30,96
SERVICOS;40;4401;28;2026-02-15;431;2;3;0;55;0;19,67;46,68;31,97
SERVICOS;36;4402;24;2026-02-15;345;3;6;0;30;0;23,08;39,01;29,04
SERVICOS;40;4401;29;2026-03-15;424;2;5;0;25;0;18,79;43,04;26,24
SERVICOS;36;4402;25;2026-03-15;335;3;3;0;60;0;22,15;46,95;34,01
SERVICOS;40;4401;30;2026-04-15;416;2;4;0;36;0;13,91;38,41;23,19
SERVICOS;36;4402;26;2026-04-15;329;2;6;0;57;0;21,46;49,73;30,87
SERVICOS;40;4401;31;2026-05-15;408;2;6;0;53;0;26,50;46,13;36,04
SERVICOS;36;4402;27;2026-05-15;319;2;4;0;44;0;19,72;33,25;24,65
SERVICOS;40;4401;32;2026-06-15;400;2;4;0;50;0;24,15;48,33;32,40
SERVICOS;36;4402;28;2026-06-15;311;3;5;0;58;0;22,03;45,19;32,73
SERVICOS;40;4401;33;2026-07-15;394;2;4;0;53;0;24,46;50,96;33,79
SERVICOS;36;4402;29;2026-07-15;301;2;5;0;41;0;19,20;48,35;30,75
SERVICOS;40;4401;34;2026-08-15;387;2;6;0;26;0;21,18;37,68;26,33
SERVICOS;36;4402;30;2026-08-15;292;3;6;0;65;0;23,49;51,42;32,02
